Date,"Transaction ID:",Details,Turnover,Balance,Currency
"2020-01-04 01:21:01",-514141499,"Loan 24221937-01 - interest received",0.012911211444171,1.1705233613718,EUR
"2020-01-04 01:21:01",-514141504,"Loan 24221937-01 - principal received",0.010974120275553,1.1814974816473,EUR
"2020-01-04 03:47:26",-514141507,"Loan 18312315-02 - interest received",0.0043541666666641,1.185851648314,EUR
"2020-01-04 03:47:26",-514141511,"Loan 18312315-02 - principal received",0.71058917197452,1.8964408202885,EUR
"2020-01-04 05:29:12",-514141515,"Loan 26310737-01 - The loan was repurchased. Reason: The loan was repaid early by the borrower.: interest received",0.061708445808317,1.9581492660968,EUR
"2020-01-04 05:29:12",-514141519,"Loan 26310737-01 - The loan was repurchased. Reason: The loan was repaid early by the borrower.: Principal received",10.9433697,12.901518966097,EUR
"2020-01-04 05:30:02",1394900228,"Loan 28088921-01 - investment in loan  Mintos Strategies (previously Invest & Access)",-10.0006866,2.9008323660968,EUR
"2020-01-04 12:12:10",-514141530,"Loan 26311088-01 - interest received",0.001347222222222,2.902179588319,EUR
"2020-01-04 12:12:10",-514141533,"Loan 26311088-01 - principal received",1,3.902179588319,EUR
"2020-01-04 12:46:04",1395214586,"Loan 21901097-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-1.11,2.792179588319,EUR
"2020-01-04 12:46:05",1395214609,"Loan 22000489-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-2.85,-0.057820411680964,EUR
"2020-01-04 22:47:07",-514141536,"Loan 25455688-01 - interest received",0.010082673833858,-0.047737737847106,EUR
"2020-01-04 22:47:07",-514141540,"Loan 25455688-01 - principal received",0.13955939372577,0.09182165587866,EUR
"2020-01-04 23:10:42",-514141543,"Loan 23492999-01 - principal received",0.051308815575987,0.14313047145465,EUR
"2020-01-04 23:10:42",-514141547,"Loan 23492999-01 - interest received",0.002903911223283,0.14603438267793,EUR
"2020-01-04 23:37:57",-514141550,"Loan 23437086-01 - principal received",0.046479621499168,0.1925140041771,EUR
"2020-01-04 23:37:57",-514141554,"Loan 23437086-01 - interest received",0.0068514471107894,0.19936545128789,EUR
"2020-01-04 23:39:42",-514141557,"Loan 23124785-01 - principal received",0.07596092042679,0.27532637171468,EUR
"2020-01-04 23:39:43",-514141558,"Loan 23124785-01 - interest received",0.0068199282969811,0.28214630001166,EUR
"2020-01-05 00:40:40",-514141560,"Loan 11288606-23 - The loan was repurchased. Reason: The loan term was prolonged.: interest received",0.028308623808653,0.31045492382031,EUR
"2020-01-05 00:40:40",-514141562,"Loan 11288606-23 - The loan was repurchased. Reason: The loan term was prolonged.: Principal received",14.769716769734,15.080171693555,EUR
"2020-01-05 00:53:06",1397305253,"Loan 25852726-01 - investment in loan  Mintos Strategies (previously Invest & Access)",-10.98,4.1001716935547,EUR
"2020-01-05 01:27:40",-514141565,"Loan 23679590-08 - The loan was repurchased. Reason: The loan term was prolonged.: interest received",0.02752941919258,4.1277011127473,EUR
"2020-01-05 01:27:40",-514141569,"Loan 23679590-08 - The loan was repurchased. Reason: The loan term was prolonged.: Principal received",13.214121212439,17.341822325187,EUR
"2020-01-05 01:28:30",1397421319,"Loan 25879480-01 - investment in loan  Mintos Strategies (previously Invest & Access)",-13.44,3.9018223251867,EUR
"2020-01-05 10:59:16",1397713337,"Loan 22617397-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-3.96,-0.058177674813328,EUR
"2020-01-05 22:00:52",-514141571,"Loan 23617952-01 - The loan was repurchased. Reason: The loan term was prolonged.: interest received",0.0074270347335968,-0.050750640079731,EUR
"2020-01-05 22:00:52",-514141574,"Loan 23617952-01 - The loan was repurchased. Reason: The loan term was prolonged.: Principal received",2.0888535400354,2.0381028999557,EUR
"2020-01-05 22:11:05",1397906011,"Loan 20217565-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-2.1,-0.061897100044288,EUR
"2020-01-05 22:35:59",-514141577,"Loan 28088921-01 - The loan was repurchased. Reason: The loan was repaid early by the borrower.: interest received",0.0066671243999992,-0.055229975644289,EUR
"2020-01-05 22:35:59",-514141581,"Loan 28088921-01 - The loan was repurchased. Reason: The loan was repaid early by the borrower.: Principal received",10.0006866,9.9454566243557,EUR
"2020-01-05 22:37:07",-514141584,"Loan 23844501-01 - interest received",0.002170149926,9.9476267742817,EUR
"2020-01-05 22:37:11",-514141586,"Loan 23844501-01 - principal received",0.027003281079109,9.9746300553608,EUR
"2020-01-05 22:39:11",-514141589,"Loan 21156653-01 - interest received",0.003158410266,9.9777884656268,EUR
"2020-01-05 22:39:26",-514141592,"Loan 21156653-01 - principal received",0.058279378593894,10.036067844221,EUR
"2020-01-05 22:40:48",-514141595,"Loan 24870372-01 - interest received",0.027914223836803,10.063982068058,EUR
"2020-01-05 22:40:50",-514141598,"Loan 24870372-01 - principal received",0.37967165013274,10.44365371819,EUR
"2020-01-05 22:42:43",-514141601,"Loan 21160874-01 - interest received",0.007605182593,10.451258900783,EUR
"2020-01-05 22:42:45",-514141603,"Loan 21160874-01 - principal received",0.1511931606328,10.602452061416,EUR
"2020-01-05 22:43:10",-514141606,"Loan 20768906-01 - interest received",0.001793223388,10.604245284804,EUR
"2020-01-05 22:43:12",-514141610,"Loan 20768906-01 - principal received",0.038742685459007,10.642987970263,EUR
"2020-01-05 22:46:16",1398227720,"Loan 23438007-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-1,9.6429879702631,EUR
"2020-01-05 22:46:24",1398230741,"Loan 23844043-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-3.21,6.4329879702631,EUR
"2020-01-05 22:46:26",1398231100,"Loan 23844560-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-3.68,2.7529879702631,EUR
"2020-01-05 22:46:27",1398231413,"Loan 23882168-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-2.81,-0.05701202973694,EUR
"2020-01-05 22:51:34",-514141613,"Loan 23844374-01 - interest received",0.002114200886,-0.05489782885094,EUR
"2020-01-05 22:51:40",-514141616,"Loan 23844374-01 - principal received",0.093723662367513,0.038825833516573,EUR
"2020-01-05 22:54:55",-514141619,"Loan 25082030-01 - interest received",0.013788139404756,0.052613972921329,EUR
"2020-01-05 22:55:05",-514141622,"Loan 25082030-01 - principal received",0.015372857142857,0.067986830064186,EUR
"2020-01-05 23:09:03",-514141624,"Loan 24128361-01 - late payment interest received",0.001190266950153,0.069177097014339,EUR
"2020-01-05 23:23:51",-514141626,"Loan 24815629-01 - principal received",2.4185288753799,2.4877059723943,EUR
"2020-01-05 23:23:51",-514141628,"Loan 24815629-01 - interest received",0.029821780141834,2.5175277525361,EUR
"2020-01-05 23:24:47",-514141631,"Loan 24813185-01 - principal received",1.4315977399357,3.9491254924718,EUR
"2020-01-05 23:24:48",-514141822,"Loan 24813185-01 - interest received",0.11893543003999,4.0680609225118,EUR
"2020-01-05 23:29:54",-514141825,"Loan 21752989-01 - interest received",1.3435759744E-6,4.0680622660877,EUR
"2020-01-05 23:31:18",-514141829,"Loan 4749252-08 - interest received",0.017487056963208,4.0855493230509,EUR
"2020-01-05 23:31:20",-514141832,"Loan 4749252-08 - principal received",0.049511987794244,4.1350613108452,EUR
"2020-01-05 23:35:04",-514141836,"Loan 22680634-01 - principal received",0.0002002169925977,4.1352615278378,EUR
"2020-01-05 23:48:08",-514141838,"Loan 12838608-01 - principal received",0.027256991489944,4.1625185193277,EUR
"2020-01-05 23:48:21",-514141840,"Loan 12838608-01 - interest received",0.0087860710871064,4.1713045904148,EUR
"2020-01-06 00:00:06",-514141843,"Loan 20754866-01 - interest received",0.032580312702639,4.2038849031175,EUR
"2020-01-06 00:00:41",-514141847,"Loan 20754866-01 - principal received",0.021057962360774,4.2249428654782,EUR
"2020-01-06 00:05:18",-514141850,"Loan 23124598-01 - principal received",0.3402804262479,4.5652232917261,EUR
"2020-01-06 00:05:19",-514141852,"Loan 23124598-01 - interest received",0.013816055337445,4.5790393470636,EUR
"2020-01-06 00:12:39",-514141855,"Loan 22444215-01 - interest received",0.014437831854637,4.5934771789182,EUR
"2020-01-06 00:12:55",-514141858,"Loan 22444215-01 - principal received",0.036175858408673,4.6296530373269,EUR
"2020-01-06 00:40:13",-514141861,"Loan 24348137-01 - interest received",0.0002002147481757,4.6298532520751,EUR
"2020-01-06 06:19:34",-514141864,"Loan 26139019-01 - interest received",0.082459999999972,4.712313252075,EUR
"2020-01-06 06:19:34",-514141867,"Loan 26139019-01 - late payment interest received",0.0018260468014394,4.7141392988765,EUR
"2020-01-06 06:19:34",-514141871,"Loan 26139019-01 - principal received",3.4590887060371,8.1732280049136,EUR
"2020-01-06 07:23:29",-514141875,"Loan 26078901-01 - interest received",0.0003277777777776,8.1735557826913,EUR
"2020-01-06 07:23:29",-514141880,"Loan 26078901-01 - late payment interest received",0.000178455746278,8.1737342384376,EUR
"2020-01-06 07:23:29",-514141882,"Loan 26078901-01 - principal received",0.16056555771401,8.3342997961516,EUR
"2020-01-06 09:39:52",1400012084,"Loan 22965687-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-3.92,4.4142997961516,EUR
"2020-01-06 09:39:54",1400012129,"Loan 23546194-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-1.64,2.7742997961516,EUR
"2020-01-06 09:40:00",1400012250,"Loan 22778706-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-2.83,-0.055700203848377,EUR
